id,reaction,ec,module,orthology,pathway,rclass,rhea,comment,name,overall,remark
R00013,2 C00048 <=> 1 C00011 + 1 C01146,4.1.1.47,,K01608,rn00630 rn01100,RC00899__C00048_C01146, 10139,,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),,
R00014,1 C00022 + 1 C00068 <=> 1 C00011 + 1 C05125,1.2.4.1 2.2.1.6 4.1.1.1,M00307,K00161 K00162 K00163 K01568 K01652 K01653 K11258,rn00010 rn00020 rn00620 rn00785,RC00027__C00068_C05125 RC02744__C00022_C05125,,"2-oxoglutarate dehydrogenase complex: pyruvate dehydrogenase (see R01699), subsequently R03270;TPP-dependent enzymatic reaction (see R00006), subsequently R03050;TPP-dependent enzymatic reaction (see R00226), subsequently R04672;TPP-dependent enzymatic reaction (see R00224), subsequently R00755;TPP-dependent enzymatic reaction (see R08648), subsequently R04673",pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),,
R00015,2 C00089 <=> 1 C00031 + 1 C03661,2.4.1.99,,,,RC00077__C00031_C00089 RC00247__C00089_C03661, 23315,,sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase,,Same as: R06135
R00017,1 C00027 + 2 C00126 <=> 2 C00001 + 2 C00125,1.11.1.5,,,,RC00016__C00125_C00126, 16584,,ferrocytochrome-c:hydrogen-peroxide oxidoreductase,,
R00018,2 C00134 <=> 1 C00014 + 1 C06366,2.5.1.44,,K00808,rn00960 rn01110,RC00053__C00134_C06366, 18648,homospermidine synthase,putrescine:putrescine 4-aminobutyltransferase (ammonia-forming),,
R00019,2 C00080 + 2 C00138 <=> 2 C00139 + 1 C00282,1.12.7.2 1.12.99.-,,K00532 K00533 K00534 K06441 K14126 K14127 K14128 K18016 K18017 K18023,,, 17448,,hydrogen:ferredoxin oxidoreductase; reduced ferredoxin:H+ oxidoreductase,,
R00021,2 C00025 + 2 C00139 <=> 1 C00026 + 1 C00064 + 2 C00080 + 2 C00138,1.4.7.1,,K00284,rn00630 rn00910 rn01120,RC00006__C00025_C00026 RC00010__C00025_C00064, 12131,two-step reaction (see R00256+R10086),L-glutamate:ferredoxin oxidoreductase (transaminating),,
R00022,1 C00001 + 1 C01674 <=> 2 C00140,3.2.1.52,,K01207 K12373,rn00520 rn01100,RC00049__C00140_C01674, 30674,,chitobiose N-acetylglucosaminohydrolase,,Same as: R06141
R00023,2 C00003 + 2 C00192 <=> 2 C00004 + 2 C00080 + 1 C01818,1.7.1.5,,,,RC00001__C00003_C00004, 19340,,hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase,,
R00024,1 C00001 + 1 C00011 + 1 C01182 <=> 2 C00197,4.1.1.39,M00165,K01601 K01602,rn00710 rn01100 rn01120 rn01200,RC00172__C00197_C01182, 23127,"multi-step reaction (isomerization, carboxylation, hydration and cleavage)","3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)",,
R00025,1 C00007 + 1 C01847 + 1 C18091 <=> 1 C00001 + 1 C00061 + 1 C00084 + 1 C00088,1.13.12.16,,K00459,rn00910 rn01100,RC00126__C00061_C01847 RC02541__C00084_C18091 RC02759__C00088_C18091, 26461,Previously classified as 2-nitropropane dioxygenase (EC 1.13.11.32).,ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming),,
R00026,1 C00001 + 1 C00185 <=> 2 C00221,3.2.1.21,,K01188 K05349 K05350,,RC00049__C00185_C00221, 30682,,cellobiose glucohydrolase,,Same as: R06092
R00027,1 C01408 <=> 2 C00261,4.1.2.38,,,,RC00906__C00261_C01408 RC02327__C00261_C01408, 21463,,"2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)",,
R00028,1 C00001 + 1 C00208 <=> 2 C00031,3.2.1.20,,K01187 K12047 K12316 K12317,rn00500 rn01100,RC00049__C00031_C00208, 68799,,maltose glucohydrolase,,Same as: R06084
R00029,2 C00125 + 2 C00320 <=> 2 C00126 + 1 C02084,1.8.2.2,,K19713,rn00920,RC00016__C00125_C00126 RC03109__C00320_C02084, 20552,,thiosulfate:ferricytochrome-c oxidoreductase,,
R00031,1 C00007 + 2 C00082 <=> 2 C00355,1.10.3.1 1.14.18.1,,K00422,rn00350 rn00950 rn01100 rn01110,RC00046__C00082_C00355,,,"1,2-benzenediol:oxygen oxidoreductase",,
R00032,1 C00007 + 1 C02094 <=> 2 C00376,1.13.11.63,,K00515,rn00830 rn01100 rn01240,RC00912__C00376_C02094, 32890,,"beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)",,
R00033,1 C00007 + 1 C00378 <=> 1 C00027 + 1 C05856,1.1.3.23,,,rn00730 rn01100,RC00087__C00378_C05856 RC02755__C00007_C00027,,"first step of two-step reaction (see R02132, R00033+R00072);subsequently R00072 (without release of thiamine aldehyde from enzyme)",thiamine:oxygen 5-oxidoreductase,,
R00034,1 C03103 <=> 2 C08249,4.1.99.3,,,,,,general reaction (see R08765),cyclobutadipyrimidine (in DNA) pyrimidine-lyase,,
R00036,2 C00430 <=> 2 C00001 + 1 C00931,4.2.1.24,M00121 M00846 M00868 M00926,K01698,rn00860 rn01100 rn01110 rn01120 rn01240,RC00918__C00430_C00931 RC01781__C00430_C00931, 24067,,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),,
R00038,2 C00479 <=> 1 C02948,4.1.2.35,,,,RC00919__C00479_C02948 RC02325__C00479_C02948, 11103,,4-hydroxy-3-hexanone propanal-lyase (propanal-forming),,
R00039,2 C00492 <=> 1 C00089 + 1 C08242,2.4.1.166,,,,RC00059__C00089_C00492, 14128,,raffinose:raffinose 1F-alpha-D-galactosyltransferase,,Same as: R06139
R00041,1 C00007 + 2 C00339 <=> 2 C00001 + 2 C00609,1.1.3.20,,,,,,,long-chain-alcohol:oxygen oxidoreductase,,
R00042,1 C00007 + 2 C01179 <=> 2 C00011 + 2 C00642,1.2.3.13,,,rn00350,RC00866__C00642_C01179, 17200,,4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating),,
R00043,1 C00007 + 1 C04547 <=> 2 C00755,1.13.11.43,,,,RC00924__C00755_C04547, 21343,,"1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)",,
R00044,1 C00007 + 2 C01795 <=> 2 C00001 + 2 C00757,1.21.3.2,,,rn00950 rn01110,RC00925__C00757_C01795, 23567,,columbamine:oxygen oxidoreductase (cyclizing),,
R00045,1 C00007 + 2 C00355 <=> 2 C00001 + 2 C00822,1.10.3.1 1.14.18.1,,K00422,rn00350 rn01100,RC00180__C00355_C00822, 34290,,"3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase",,
R00047,1 C00007 + 1 C00030 + 1 C01020 <=> 1 C00001 + 1 C00011 + 1 C00028 + 1 C01059,1.14.99.-,,,,RC00115__C01020_C01059,,the enzyme from Pseudomonas fluorescens TN5 uses NADH as hydrogen-donor (see R08764),"6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)",,
R00048,1 C00001 + 1 C04546 <=> 2 C01089,3.1.1.22,,K07518,rn00650 rn01100,RC00037__C01089_C04546 RC00094__C01089_C04546, 10175,,(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase,,
R00049,2 C01158 <=> 1 C00031 + 1 C04101,2.3.1.90,,,,RC00041__C01158_C04101 RC00055__C00031_C01158, 11419,,1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase,,
R00052,1 C00027 + 1 C01327 + 1 C01371 <=> 2 C00001 + 1 C01334,1.11.1.10,,,,RC02324__C01334_C01371,,,chloride:hydrogen-peroxide oxidoreductase,,
R00053,1 C00001 + 1 C01572 <=> 2 C01424,3.1.1.20,,,,RC00475__C01424_C01572 RC00476__C01424_C01572, 16368,,digallate acylhydrolase; tannin acylhydrolase,,
R00054,1 C00001 + 1 C02868 <=> 2 C01839,3.1.1.40,,,,RC00475__C01839_C02868 RC00476__C01839_C02868, 19552,,orsellinate-depside hydrolase,,
R00055,1 C00007 + 2 C00294 <=> 2 C00001 + 2 C01993,1.1.3.28,,,,RC00450__C00294_C01993, 23039,"the first step of two-step reaction (see R05821, R00055+R05822);subsequently R05822",inosine:oxygen 5'-oxidoreductase,,
R00056,1 C00001 + 1 C01910 <=> 2 C02171,3.6.1.-,,K01513,,RC00002__C01910_C02171,,general reaction,dinucleotide nucleotidohydrolase,,
R00057,1 C00007 + 2 C01525 <=> 1 C00027 + 1 C02318,1.8.3.2,,,,RC00946__C01525_C02318 RC02755__C00007_C00027, 17360,,thiol:oxygen oxidoreductase,,
R00058,1 C00007 + 2 C00090 <=> 2 C00001 + 2 C02351,1.10.3.1 1.14.18.1,,,,RC00180__C00090_C02351, 21635,,"catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase",,
R00059,1 C00001 + 1 C01255 <=> 2 C02378,3.5.1.46,,K01453,rn00930 rn01120,RC00090__C01255_C02378 RC00096__C01255_C02378, 21367,,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase,,
R00060,1 C00007 + 2 C00495 <=> 2 C00001 + 2 C03036,1.21.3.4,,,,RC02323__C00495_C03036, 24095,,"sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)",,
R00061,1 C00007 + 2 C00495 <=> 2 C00001 + 2 C03040,1.21.3.5,,,,RC02323__C00495_C03040, 22619,,"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)",,
R00062,2 C03374 <=> 1 C00486 + 1 C05787,,,,,RC00523__C00486_C03374, 16888,,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase,,
R00063,2 C01175 <=> 1 C00031 + 1 C04275,2.3.1.103,,,,RC00055__C00031_C01175, 22667,,"1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase",,
R00066,2 C04332 <=> 1 C00255 + 1 C04732,2.5.1.9,M00125 M00911,K00793,rn00740 rn01100 rn01110 rn01240,RC00958__C00255_C04332 RC00960__C04332_C04732, 20775,,"6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase",,
R00067,2 C00080 + 2 C05359 <=> 1 C00282,1.18.6.1,,,,,,"a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)",reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),,
R00068,1 C00007 + 2 C00072 <=> 2 C00001 + 2 C05422,1.10.3.3,,K00423,rn00053 rn01100,RC00092__C00072_C05422, 30246,,L-ascorbate:oxygen oxidoreductase,,
R00069,1 C00027 + 1 C05565 <=> 1 C00001 + 1 C00007 + 1 C03680,1.14.13.- 1.17.3.2,,,rn00340,RC00969__C03680_C05565 RC02755__C00007_C00027,,,4-imidazolone-5-propanoate:oxygen oxidoreductase,,
R00070,1 C00007 + 2 C05791 <=> 2 C00001 + 2 C05795,,,,rn00860 rn01100 rn01110,RC01983__C05791_C05795,,non-enzymatic,D-urobilinogen:oxygen oxidoreductase,,
R00072,1 C00001 + 1 C00007 + 1 C05856 <=> 1 C00027 + 1 C02892,1.1.3.23,,,rn00730 rn01100,RC00080__C02892_C05856 RC02755__C00007_C00027,,"second step of two-step reaction (see R02132, R00033+R00072);following after R00033",thiamine-aldehyde:oxygen 5-oxidoreductase,,
R00073,1 C00001 + 1 C00028 + 1 C00427 <=> 1 C00030 + 1 C05956,1.14.99.1,,K00509 K11987,rn00590 rn01100,RC00982__C00427_C05956,,"the latter part (peroxidase) of multi-step reaction (see R01599, R01590+R00073);following after R01590",reduced acceptor:prostaglandin G2 oxidoreductase,,
R00074,3 C00007 + 4 C01987 <=> 6 C00001 + 2 C02161,1.10.3.4,,K20204 K20219,rn00380 rn01100,RC00767__C01987_C02161 RC02319__C01987_C02161, 40966,multi-step reaction (see R08762+R08763),2-aminophenol:oxygen oxidoreductase (dimerizing),,
R00075,3 C00019 <=> 3 C00170 + 1 C05324,2.5.1.43,M00953,K05953,rn00270 rn00999 rn01100 rn01110,RC00021__C00019_C00170, 16484,multi-step reaction,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,,
R00076,4 C00002 + 2 C02308 <=> 4 C00008 + 1 C02307,2.7.11.19,,,,RC00002__C00002_C00008,,,ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase,,
R00077,4 C00001 + 1 C02307 <=> 4 C00009 + 2 C02308,3.1.3.17,,,,,,,[phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase,,
R00078,1 C00007 + 4 C00080 + 4 C14818 <=> 2 C00001 + 4 C14819,1.16.3.1,,K00522 K03594 K13624 K13625 K14735 K18495 K19054 K22336 K22552,rn00860,RC02758__C14818_C14819, 11151,,Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase,,
R00080,3 C00007 + 4 C00090 <=> 6 C00001 + 2 C03861,1.1.3.14 1.10.3.1,,,,RC00993__C00090_C03861 RC02318__C00090_C03861, 12812,"multi-step reaction;intermediate (ec 1.10.3.1, [CPD:C02351], see R00058)",catechol:oxygen oxidoreductase (dimerizing),,
R00081,1 C00007 + 8 C00080 + 4 C00126 <=> 2 C00001 + 4 C00080 + 4 C00125,7.1.1.9,M00154 M00155 M00156,,rn01100,RC00016__C00125_C00126, 11439,,ferrocytochrome-c:oxygen oxidoreductase,,
R00082,1 C00007 + 4 C01000 <=> 2 C00001 + 4 C00997,7.1.1.9,,,,,,,ferrocytochrome c2:oxygen oxidoreductase,,
R00083,1 C00007 + 4 C01785 <=> 2 C00001 + 4 C05309,1.10.3.2,,,,, 11279,general reaction,benzenediol:oxygen oxidoreductase,,
R00084,1 C00001 + 4 C00931 <=> 4 C00014 + 1 C01024,2.5.1.61,M00121 M00846 M00868 M00926,K01749,rn00860 rn01100 rn01110 rn01120 rn01240,RC02317__C00931_C01024, 13188,multi-step reaction,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing),,
R00085,2 C00001 + 1 C00002 <=> 2 C00009 + 1 C00020,3.6.1.5,,,,RC00002__C00002_C00020, 20991,possibly two-step reaction (see R00086+R00122),ATP diphosphohydrolase (phosphate-forming),,
R00086,1 C00001 + 1 C00002 <=> 1 C00008 + 1 C00009,3.6.1.- 3.6.1.15 3.6.1.5 3.6.1.8 7.1.2.2,M00157 M00158 M00159 M00160,K01509 K01510 K06928 K14641 K14642,rn00230 rn01100 rn01110 rn01232,RC00002__C00002_C00008, 13068__14676__14736__15184__20624__20855,,ATP phosphohydrolase,,
R00087,1 C00001 + 1 C00002 <=> 1 C00013 + 1 C00020,3.6.1.8 3.6.1.9,,K01513 K04765,rn00230 rn01100 rn01232,RC00002__C00002_C00020, 14248,,ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase,,
R00088,1 C00001 + 1 C00002 <=> 1 C00014 + 1 C00081,3.5.4.17 3.5.4.18,,,,RC00477__C00002_C00081, 13040,,ATP aminohydrolase,,
R00089,1 C00002 <=> 1 C00013 + 1 C00575,4.6.1.1,,K01768 K05851 K05873 K08041 K08042 K08043 K08044 K08045 K08046 K08047 K08048 K08049 K11029 K11265 K22944,rn00230 rn01100,RC00295__C00002_C00575, 15392,,"ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)",,
R00090,1 C00004 + 1 C00027 + 1 C00080 <=> 2 C00001 + 1 C00003,1.11.1.1,,,,RC00001__C00003_C00004, 18512,,NADH:hydrogen-peroxide oxidoreductase,,
R00091,1 C00003 + 2 C00010 <=> 1 C00004 + 1 C00080 + 1 C02015,,,,,RC00001__C00003_C00004 RC00011__C00010_C02015,,NADP+ (see R07175),CoA:NAD+ oxidoreductase,,
R00092,1 C00003 + 2 C14818 <=> 1 C00004 + 1 C00080 + 2 C14819,1.16.1.7,,,,RC00001__C00003_C00004 RC02758__C14818_C14819,,,Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase,,
R00093,1 C00003 + 2 C00025 <=> 1 C00004 + 1 C00026 + 1 C00064 + 1 C00080,1.4.1.14,,K00264,rn00250 rn00910 rn01100 rn01110 rn01120,RC00001__C00003_C00004 RC00006__C00025_C00026 RC00010__C00025_C00064, 13756,,L-glutamate:NAD+ oxidoreductase (transaminating),,
R00094,1 C00003 + 2 C00051 <=> 1 C00004 + 1 C00080 + 1 C00127,1.8.1.7,,K00383,,RC00001__C00003_C00004 RC00011__C00051_C00127, 75702,NADP+ (see R00115),glutathione:NAD+ oxidoreductase,,
R00095,1 C00003 + 2 C00072 <=> 1 C00004 + 1 C00080 + 2 C01041,1.6.5.4,,K08232,rn00053 rn01100,RC00001__C00003_C00004, 14584,,NADH:monodehydroascorbate oxidoreductase,,
R00097,1 C00541 <=> 1 C00992,,,,rn00860 rn01100,RC00220__C00541_C00992,,no specific enzyme,,,
R00099,1 C00853 <=> 1 C00541,,,,rn00860 rn01100,RC01010__C00541_C00853, 17484,unclear reaction,,,
R00100,1 C00004 + 2 C00996 <=> 1 C00003 + 1 C00080 + 2 C00999,1.6.2.2,,K00326,rn00520,RC00001__C00003_C00004, 46683,,NADH:ferricytochrome-b5 oxidoreductase,,
R00101,1 C00004 + 2 C02683 <=> 1 C00003 + 1 C00080 + 2 C02685,1.6.2.6,,,,RC00001__C00003_C00004, 16164,NADPH (see R00109),NADH:ferrileghemoglobin oxidoreductase,,
R00102,1 C00001 + 1 C00003 <=> 1 C00153 + 1 C00301,3.2.2.5 3.2.2.6 3.5.1.-,,K01242 K18152 K18153 K19980 K27536,rn00760 rn01100,RC00033__C00003_C00153 RC00485__C00003_C00301, 16304,,NAD+ glycohydrolase,,
R00103,1 C00001 + 1 C00003 <=> 1 C00020 + 1 C00455,3.6.1.22 3.6.1.9,,K01513 K03426 K04765 K26956,rn00760 rn01100,RC00002__C00003_C00020, 11803,,NAD+ phosphohydrolase,,
R00104,1 C00002 + 1 C00003 <=> 1 C00006 + 1 C00008,2.7.1.23,,K00858,rn00760 rn01100 rn01240,RC00002__C00002_C00008 RC00078__C00003_C00006, 18632,,ATP:NAD+ 2'-phosphotransferase,,
R00105,1 C00002 + 1 C00004 <=> 1 C00005 + 1 C00008,2.7.1.86,,,,RC00002__C00002_C00008 RC00078__C00004_C00005, 12263,,ATP:NADH 2'-phosphotransferase,,
R00106,1 C00005 + 2 C00923 <=> 1 C00006 + 1 C00080 + 2 C00924,1.6.2.4,,,,RC00001__C00005_C00006,,,NADPH:ferricytochrome oxidoreductase,,
R00108,1 C00005 + 2 C00997 <=> 1 C00006 + 1 C00080 + 2 C01000,1.6.2.5,,,,RC00001__C00005_C00006, 15240,,NADPH:ferricytochrome-c2 oxidoreductase,,
R00109,1 C00005 + 2 C02683 <=> 1 C00006 + 1 C00080 + 2 C02685,1.6.2.6,,,,RC00001__C00005_C00006, 16160,NADH (see R00101),NADPH:ferrileghemoglobin oxidoreductase,,
R00111,1 C00005 + 2 C00007 + 1 C00080 + 2 C05933 <=> 2 C00001 + 1 C00006 + 2 C00327 + 2 C00533,1.14.13.39,,K13240 K13241 K13242 K13427,rn00330 rn01100,RC00001__C00005_C00006 RC01044__C00327_C05933 RC02757__C00533_C05933, 24667,"the latter part of multi-step reaction (see R00557, R00558+R00111);following after R00558;NADH (see R10108)","N-(omega)-hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)",,
R00112,1 C00003 + 1 C00005 <=> 1 C00004 + 1 C00006,1.6.1.1 1.6.1.3,,K00322,rn00760 rn01100,RC00001__C00003_C00004, 11695,specific for the B-faces of both NADP+ and NAD+ (ec 1.6.1.1),NADPH:NAD+ oxidoreductase,,
R00113,1 C00005 + 1 C00027 + 1 C00080 <=> 2 C00001 + 1 C00006,1.11.1.2,,,,RC00001__C00005_C00006, 15176,,NADPH:hydrogen-peroxide oxidoreductase,,
R00114,1 C00006 + 2 C00025 <=> 1 C00005 + 1 C00026 + 1 C00064 + 1 C00080,1.4.1.13,,K00265 K00266,rn00250 rn00910 rn01100 rn01110 rn01120 rn01230,RC00001__C00005_C00006 RC00006__C00025_C00026 RC00010__C00025_C00064, 15504,two-step reaction (see R00256+R00248),L-glutamate:NADP+ oxidoreductase (transaminating),,
R00115,1 C00006 + 2 C00051 <=> 1 C00005 + 1 C00080 + 1 C00127,1.8.1.7,,K00383,rn00480 rn01100,RC00001__C00005_C00006 RC00011__C00051_C00127, 11743,,glutathione:NADP+ oxidoreductase,,
R00118,1 C00001 + 1 C00006 <=> 1 C00003 + 1 C00009,3.1.3.- 3.1.3.108,,,rn00760,RC00005__C00006_C00009 RC00078__C00003_C00006, 28053,,NADP+ 2'-phosphohydrolase,,
R00119,1 C00006 + 1 C00253 <=> 1 C00153 + 1 C13051,2.4.99.20,,K01242 K18152,rn00760,RC00033__C00006_C00153, 19852__38602,,NADP+:nicotinate ADP-ribosyltransferase,,
R00120,1 C00007 + 2 C00051 <=> 1 C00027 + 1 C00127,1.8.3.3,,,rn00480 rn01100,RC00011__C00051_C00127 RC02755__C00007_C00027, 24115,,glutathione:oxygen oxidoreductase,,
R00122,1 C00001 + 1 C00008 <=> 1 C00009 + 1 C00020,3.6.1.5,,K01510 K14641 K14642,rn00230 rn01100 rn01110 rn01232,RC00002__C00008_C00020, 61439,,ADP phosphohydrolase,,
R00123,1 C00001 + 1 C00008 <=> 1 C00014 + 1 C00104,3.5.4.17 3.5.4.7,,,,RC00477__C00008_C00104, 12744,,ADP aminohydrolase,,
R00124,1 C00002 + 1 C00008 <=> 1 C00002 + 1 C00008,2.7.4.6,,K00940 K18533,,RC00002__C00002_C00008,,,ATP:ADP phosphatransferase,,
R00125,1 C00001 + 1 C01260 <=> 2 C00008,3.6.1.41,,K01525,rn00230 rn01100,RC00002__C00008_C01260, 24255,,"P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase",,
R00126,1 C00002 + 1 C00008 <=> 1 C00009 + 1 C01260,2.7.7.53,,K00988 K19710,rn00230 rn01100,RC00002__C00002_C01260 RC02753__C00008_C01260, 16580,,ADP:ATP adenylyltransferase,,
R00127,1 C00002 + 1 C00020 <=> 2 C00008,2.7.4.3,M00049,K00939 K18532 K18533,rn00230 rn01100 rn01110 rn01232 rn01240,RC00002__C00002_C00008, 12976,,ATP:AMP phosphotransferase,,
R00128,1 C00001 + 1 C03483 <=> 1 C00002 + 1 C00009,3.6.1.14,,,rn00230 rn01100,RC00002__C00002_C03483, 24503,,adenosine-tetraphosphate phosphohydrolase,,
R00129,1 C00002 + 1 C04856 <=> 1 C00004 + 1 C00008 + 1 C00009,4.2.1.93,,,,RC00002__C00002_C00008 RC01058__C00004_C04856, 19020,,"(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)",,
R00130,1 C00002 + 1 C00882 <=> 1 C00008 + 1 C00010,2.7.1.24,M00120,K00859 K02318,rn00770 rn01100 rn01240,RC00002__C00002_C00008 RC00078__C00010_C00882, 18248,,ATP:dephospho-CoA 3'-phosphotransferase,,
R00131,1 C00001 + 1 C00086 <=> 1 C00011 + 2 C00014,3.5.1.5,,K01427 K01428 K01429 K01430 K14048,rn00220 rn00230 rn00791 rn01100 rn01120,RC02798__C00014_C00086 RC02806__C00011_C00086, 20560,,urea amidohydrolase,,
R00132,1 C01353 <=> 1 C00001 + 1 C00011,4.2.1.1,,K01672 K01673 K01674,,RC02807__C00011_C01353, 10751,,carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase,,
R00134,1 C00006 + 1 C00058 <=> 1 C00005 + 1 C00011 + 1 C00080,1.17.1.10,M00377,K05299 K15022,rn00680 rn00720 rn01100 rn01120 rn01200,RC00001__C00005_C00006 RC02796__C00011_C00058, 12003,,formate:NADP+ oxidoreductase,,
R00135,1 C00001 + 1 C00012 <=> 1 C00012 + 1 C00148,3.4.11.5,,K01259 K11142,rn00330 rn01100,,,,,,
R00137,1 C00002 + 1 C00455 <=> 1 C00003 + 1 C00013,2.7.7.1 2.7.7.18,,K00952 K00969 K06210 K06211 K13522 K19785,rn00760 rn01100,RC00002__C00003_C00455, 21363,,ATP:nicotinamide-nucleotide adenylyltransferase,,
R00138,1 C00001 + 1 C00536 <=> 1 C00009 + 1 C00013,3.6.1.25,,,,, 14160,,triphosphate phosphohydrolase,,
R00139,1 C00002 + 1 C11038 <=> 1 C00008 + 1 C11039,2.7.4.6,,K00940,rn00240,RC00002__C00002_C00008,,,ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase,,
R00140,1 C00008 + 1 C11038 <=> 1 C00002 + 1 C03997,2.7.4.12,,K19797,rn00240,RC00002__C00002_C00008,,,ATP:5-hydroxymethyldeoxycytidylate phosphotransferase,,
